date,actual,pred_Random_Forest,pred_Gradient_Boosting
2025-11-07,14.0,12.387045926241946,15.685947530072188
2025-11-08,9.0,10.932203730050148,16.151318917576468
2025-11-09,4.0,10.19129391129778,15.883510182526669
2025-11-10,9.0,9.450209790097983,11.315536078893622
2025-11-11,14.0,13.38908810504811,13.547280048836624
2025-11-12,7.0,12.132250518049066,12.134960002867198
2025-11-13,5.0,11.56715194415637,15.883510182526669
2025-11-14,5.0,12.656202530160801,16.260772898614768
2025-11-15,5.0,9.622127219917195,16.06321024616029
2025-11-16,5.0,7.843823798538349,15.428970148467236
2025-11-17,8.0,8.205318897812388,12.417402252243303
2025-11-18,12.0,10.604337199988596,13.780088024870476
2025-11-19,10.0,11.072270134742134,14.332498651979337
2025-11-20,9.0,10.843034983876368,15.428970148467236
2025-11-21,6.0,10.486212302426468,15.428970148467236
2025-11-22,4.0,7.959064336888968,15.428970148467236
2025-11-23,1.0,8.793624408829032,15.428970148467236
2025-11-24,13.0,9.080119696894283,12.417402252243303
2025-11-25,11.0,10.051692557452101,12.072472646826375
2025-11-26,9.0,11.712272500839587,13.055638823610417
2025-11-27,7.0,11.360285088326888,14.817754904092302
2025-11-28,5.0,9.565272539058284,14.634957141128355
2025-11-29,2.0,8.060546641632914,14.634957141128355
2025-11-30,0.0,7.865140347577179,14.634957141128355
2025-12-01,9.0,8.245785120295249,11.79556518947441
2025-12-02,8.0,11.564555576753737,13.583982693954923
2025-12-03,7.0,10.505386301728393,13.990074542715837
2025-12-04,13.0,7.659204079514072,13.846764052466307
2025-12-05,13.0,7.621850267262671,13.846764052466307
2025-12-06,12.0,7.937950470650605,13.569602746537162
2025-12-07,12.0,7.719235208741086,13.569602746537162
2025-12-08,4.0,7.938782032942186,10.81136939595774
2025-12-09,8.0,11.309974957837339,12.752424785278425
2025-12-10,9.0,10.167450759740264,13.512865492732091
2025-12-11,10.0,9.46010356507584,14.102647238871638
2025-12-12,9.0,9.70446077298487,14.318224049765007
2025-12-13,9.0,8.22777836351789,14.474740096858362
2025-12-14,8.0,7.6982329100109155,14.474740096858362
2025-12-15,7.0,8.510671235834756,11.63987841122244
2025-12-16,9.0,10.619032667719411,13.974222544635587
2025-12-17,10.0,10.697078488696343,15.32713155086287
2025-12-18,16.0,10.78266065857499,15.860059214136257
2025-12-19,15.0,10.424130559513587,15.860059214136257
2025-12-20,15.0,8.83149812086137,16.30814404528371
2025-12-21,14.0,8.062171702168385,16.30814404528371
