date,forecast_Random_Forest,forecast_Gradient_Boosting,forecast_ETS,ci_lower_90,ci_upper_90
2025-12-22,2468.5321824146176,2485.5687479239077,2474.787311806662,2388.9537645312157,2560.620859082108
2025-12-23,2462.581859978945,2485.5687479239077,2449.2637895785742,2327.8768229150464,2570.650756242102
2025-12-24,2461.6561377567223,2483.1859249494432,2420.822325988276,2272.154261113338,2569.490390863214
2025-12-25,2461.2505996004347,2483.1859249494432,2400.189642766526,2228.522548215634,2571.8567373174183
2025-12-26,2461.2505996004347,2483.1859249494432,2405.232049021683,2213.3024025638438,2597.161695479522
2025-12-27,2460.6986337884687,2485.5687479239077,2420.833106986504,2210.584713348604,2631.081500624404
2025-12-28,2458.925826598926,2485.5687479239077,2433.6163847005064,2206.5221644631706,2660.710604937842
2025-12-29,2576.3926205476673,2485.5687479239077,2423.4693851237057,2180.6954517966496,2666.2433184507618
2025-12-30,2619.003295260007,2485.5687479239077,2397.945862895618,2140.44522106928,2655.4465047219564
2025-12-31,2615.4821295440233,2485.5687479239077,2369.50439930532,2098.0748902631703,2640.9339083474697
2026-01-01,2657.5202211763135,2485.5687479239077,2348.8717160835695,2064.1940453456828,2633.549386821456
2026-01-02,2660.225490407083,2485.5687479239077,2353.914122338727,2056.5779925888514,2651.2502520886023
2026-01-03,2657.855907073749,2485.5687479239077,2369.515180303548,2060.0379244469646,2678.992436160131
2026-01-04,2657.855907073749,2485.5687479239077,2382.2984580175503,2061.1387318213674,2703.458184213733
2026-01-05,2661.034575904918,2485.5687479239077,2372.1514584407496,2039.71955929704,2704.583357584459
2026-01-06,2661.5747425715854,2485.5687479239077,2346.627936212662,2003.2937471108778,2689.962125314446
2026-01-07,2661.233242571585,2485.5687479239077,2318.186472622364,1964.2856909842528,2672.0872542604748
2026-01-08,2661.423242571585,2485.5687479239077,2297.5537894006134,1933.3928894100293,2661.714689391197
2026-01-09,2661.423242571585,2485.5687479239077,2302.5961956557703,1928.45643711648,2676.7359541950605
2026-01-10,2658.943242571585,2485.5687479239077,2318.1972536205917,1934.3379607049133,2702.05654653627
2026-01-11,2658.943242571585,2485.5687479239077,2330.980531334594,1937.6418037782921,2724.3192588908964
