date,actual,pred_Random_Forest,pred_Gradient_Boosting
2025-11-07,2274.0,2277.504686563577,2292.2333767153423
2025-11-08,2284.0,2274.2864407236325,2292.2333767153423
2025-11-09,2294.0,2278.093433813911,2296.47602916804
2025-11-10,2294.0,2280.995520488374,2298.8641844946787
2025-11-11,2294.0,2295.197488382538,2315.7901917940535
2025-11-12,2302.0,2294.802483016558,2319.606599462801
2025-11-13,2317.0,2294.895007983989,2318.1222761689396
2025-11-14,2325.0,2296.160451672868,2322.106900862665
2025-11-15,2332.0,2316.987368874959,2334.365917328876
2025-11-16,2340.0,2326.033401898141,2338.363074524066
2025-11-17,2343.0,2335.7079281318756,2346.1922345210123
2025-11-18,2345.0,2352.4137342717795,2362.164087095857
2025-11-19,2340.0,2351.588693867739,2362.164087095857
2025-11-20,2340.0,2352.987763131808,2362.164087095857
2025-11-21,2352.0,2350.6379823831453,2362.164087095857
2025-11-22,2363.0,2346.385848235492,2362.164087095857
2025-11-23,2375.0,2349.6321909999047,2362.164087095857
2025-11-24,2371.0,2376.5893732075365,2383.271575108677
2025-11-25,2375.0,2386.2711865446645,2392.3840182120107
2025-11-26,2382.0,2381.176351433697,2392.3840182120107
2025-11-27,2389.0,2389.243392427017,2392.3840182120107
2025-11-28,2398.0,2386.6888850300024,2392.3840182120107
2025-11-29,2406.0,2389.366176544044,2392.3840182120107
2025-11-30,2415.0,2410.427128378974,2419.874847112471
2025-12-01,2410.0,2407.189377241223,2419.874847112471
2025-12-02,2407.0,2404.466810715429,2419.874847112471
2025-12-03,2419.0,2402.9186796381723,2419.874847112471
2025-12-04,2418.0,2407.9822271121834,2425.5271300228196
2025-12-05,2422.0,2424.0018673654977,2442.3382820208612
2025-12-06,2425.0,2423.755549941143,2442.3382820208612
2025-12-07,2429.0,2422.1865153091085,2442.3382820208612
2025-12-08,2440.0,2424.0976599887526,2442.3382820208612
2025-12-09,2443.0,2421.174605497278,2454.9032570068907
2025-12-10,2439.0,2440.3675505981864,2454.9032570068907
2025-12-11,2437.0,2438.017621164875,2454.9032570068907
2025-12-12,2445.0,2437.476984953864,2454.9032570068907
2025-12-13,2454.0,2437.688755609908,2457.1807161183992
2025-12-14,2462.0,2437.688755609908,2457.1807161183992
2025-12-15,2470.0,2450.5095919412247,2457.1807161183992
2025-12-16,2468.0,2463.976773483827,2481.555957077324
2025-12-17,2481.0,2464.109551261605,2481.555957077324
2025-12-18,2472.0,2465.015448541569,2481.555957077324
2025-12-19,2476.0,2471.90940338217,2485.5687479239077
2025-12-20,2480.0,2470.763544643686,2485.5687479239077
2025-12-21,2484.0,2467.3914882549766,2485.5687479239077
