date,forecast_Random_Forest,forecast_Gradient_Boosting,forecast_ETS,ci_lower_90,ci_upper_90
2025-12-22,10.692363418759554,8.650327426930717,14.300951675099505,-29.625159087507953,58.22706243770696
2025-12-23,11.783665306164163,8.779142331734178,15.368072031005635,-46.752829551776614,77.48897361378788
2025-12-24,12.011200751451048,5.440895180368865,16.39715563304614,-59.68509998668806,92.47941125278034
2025-12-25,12.509355775347759,5.817658674929983,18.29686813104921,-69.5553533941657,106.14908965626412
2025-12-26,11.313283145825562,10.333595685076165,15.851212417423117,-82.3705572349523,114.07298206979853
2025-12-27,10.011523752094748,10.333595685076165,13.326014533238457,-94.27054322012626,120.92257228660318
2025-12-28,10.630551889719902,7.498733999440246,10.064594731769766,-106.15297040836734,126.28215987190688
2025-12-29,18.866192094925978,18.714393601479607,11.876713975324556,-112.36508919023993,136.11851714088905
2025-12-30,20.44015296244403,20.51538743885436,12.943834331230686,-118.83449795659168,144.72216661905304
2025-12-31,21.796272888194327,17.17714028748905,13.97291793327119,-124.9336408294042,152.87947669594658
2026-01-01,19.76810131050419,18.06771224534374,15.872630431274258,-129.8137974678868,161.55905833043528
2026-01-02,18.543947247275696,23.015500054759702,13.426974717648168,-138.73753652182023,165.59148595711656
2026-01-03,18.160779328627182,23.015500054759702,10.901776833463508,-147.47606785282827,169.2796215197553
2026-01-04,16.99866164982378,24.345871990744328,7.640357031994816,-156.7160997751657,171.99681383915535
2026-01-05,19.17145061958273,20.8078818694997,9.452476275549607,-160.67261917169148,179.57757172279068
2026-01-06,20.693204313281754,23.41256004105319,10.51959663145574,-165.1848464189741,186.22403968188556
2026-01-07,22.562407835576117,23.94548770432658,11.548680233496242,-169.56331416331503,192.6606746303075
2026-01-08,22.388244176774336,24.58305749099506,13.44839273149931,-172.91431201684742,199.811097479846
2026-01-09,22.50216850326551,24.58305749099506,11.002737017873221,-180.46674077910706,202.4722148148535
2026-01-10,22.555231449404374,24.58305749099506,8.477539133688559,-187.96600017106226,204.9210784384394
2026-01-11,19.213808380514198,21.74819580535914,5.216119332219868,-196.0786082224432,206.51084688688294
